UNSORTED ONES
Algorithm, Input Size, Average Time
Merge Sort, 44800, 3.32048
Shell Sort, 44800, 0.799947
Radix Sort (LSD), 44800, 0.265385
Insertion Sort, 47040, 744.168
Selection Sort, 47040, 609.181
Bubble Sort, 47040, 1711.51
Quick Sort, 47040, 0.871085
Merge Sort, 47040, 3.48494
Shell Sort, 47040, 0.793727
Radix Sort (LSD), 47040, 0.280689
Insertion Sort, 49280, 817.323
Selection Sort, 49280, 666.764
Bubble Sort, 49280, 1870.99
Quick Sort, 49280, 0.87121
Merge Sort, 49280, 3.64285
Shell Sort, 49280, 1.0283
Radix Sort (LSD), 49280, 0.292545
Insertion Sort, 51520, 892.23
Selection Sort, 51520, 730.956
Bubble Sort, 51520, 2047.45
Quick Sort, 51520, 0.94498
Merge Sort, 51520, 3.79994
Shell Sort, 51520, 0.887494
Radix Sort (LSD), 51520, 0.307047
AGORA COMEÇA COM OS NÚMEROS SORTED
Insertion Sort, 1, 3.14e-06
Selection Sort, 1, 3.48e-06
Bubble Sort, 1, 1.48e-06
Quick Sort, 1, 3.68e-06
Merge Sort, 1, 1.48e-06
Shell Sort, 1, 2.04e-06
Radix Sort (LSD), 1, 3.38e-06
Insertion Sort, 31360, 0.0285357
Selection Sort, 31360, 271.294
Bubble Sort, 31360, 0.0188415
Quick Sort, 31360, 486.304
Merge Sort, 31360, 1.99579
Shell Sort, 31360, 0.149816
Radix Sort (LSD), 31360, 0.181835
Insertion Sort, 33600, 0.0305559
Selection Sort, 33600, 311.475
Bubble Sort, 33600, 0.019925
Quick Sort, 33600, 558.648
Merge Sort, 33600, 2.19617
Shell Sort, 33600, 0.166536
Radix Sort (LSD), 33600, 0.19547
Insertion Sort, 35840, 0.0332194
Selection Sort, 35840, 354.644
Bubble Sort, 35840, 0.0205013
Quick Sort, 35840, 634.645
Merge Sort, 35840, 2.35412
Shell Sort, 35840, 0.175738
Radix Sort (LSD), 35840, 0.21382
Insertion Sort, 38080, 0.0347891
